----------------Nom Prp Det Nom-------------------
     14 chef de l' Etat
     10 tour de l' élection
      5 gazette de la Croisette
      4 sommet de l' OTAN
      4 ministre de l' éducation
      4 ministre de l' économie
      4 débat de l' entre-deux-tours
      3 sort à l' université
      3 ministre de la transition
      3 ministre de la cohésion
      2 tour depuis l' élection
      2 Retour sur le parcours
      2 qualité de l' air
      2 président de la commission
      2 ministre de la santé
      2 ministre de la justice
      2 ministre de l' agriculture
      2 ministre de la culture
      2 ministère de l' intérieur
      2 ministère de la transition
      2 intox pendant la campagne
      2 homme de 23 ans
      2 grève de la faim
      2 Français de l' étranger
      2 discipline de l' ordre
      2 devoirs à l' école
      2 chef de la diplomatie
      2 candidat de la droite
      2 campagne pour les élections
      2 cadre de l' enquête
      1 yeux de ma fille
      1 vue par la presse
      1 vue de sa mise
      1 vue de l' étranger
      1 Voyage dans le cœur
      1 voyage à l' étranger
      1 volets de l' affaire
      1 volet de notre série
      1 volet de l' affaire
      1 voix à l' élection
      1 voie à la légalisation
      1 vitesse de 100 km/h
      1 visite dans une école
      1 visite chez le médecin
      1 visions de la justice
      1 ville de la Haute-Garonne
      1 vigueur dans la nuit
      1 vie d' un transgenre
      1 victoire pour le fondateur
      1 victoire de son parti
      1 victoire de la droite
      1 vice-président de la commission
      1 vérité sur le sort
      1 venue de sa campagne
      1 venue de la droite
      1 vendredi dans l' attaque
      1 vendredi à 21 heures
      1 veille de son départ
      1 valises dans la capitale
      1 utilisation de son indemnité
      1 tribune contre le FN
      1 travail pour les demandeurs
      1 travail en 4 graphes
      1 travail dans les alliances
      1 transport d' un bagage
      1 tours de l' élection
      1 tour dans l' histoire
      1 total 3 000 personnes
      1 tonalité de sa campagne
      1 toile d' une artiste
      1 titres de l' Olympique
      1 tête d' un rat
      1 tête de l' OMS
      1 tête de l' AKP
      1 tête dans 45 circonscriptions
      1 terme de la cérémonie
      1 tergiversations sur l' aide
      1 tenants de la théorie
      1 temps dans leur maison
      1 tempo de la réforme
      1 taxe sur les propriétaires
      1 tapis d' un centre
      1 taille d' un réfrigérateur
      1 symbole de l' abeille
      1 suspense pour le maintien
      1 sursis contre le directeur
      1 surface dans la campagne
      1 suppression de la réserve
      1 sujet de la guerre
      1 suites d' un cancer
      1 suite d' une panne
      1 suite de l' enquête
      1 suite de la propagation
      1 stupeur dans les rangs
      1 Sport de la retransmission
      1 sport de l' anonymat
      1 SPD dans la tourmente
      1 soutien à sa fille
      1 soutien à l' accord
      1 sortie d' un jeu
      1 sort de leurs enfants
      1 sondages depuis le mois
      1 sommet sur l' alimentation
      1 solidarité avec les migrants
      1 soir pour les jours
      1 soir pour la finale
      1 Smoovengo par le syndicat
      1 semaines à l' avance
      1 séjour dans la capitale
      1 séjour à l' étranger
      1 Seine par des skinheads
      1 sein d' une association
      1 sein de son équipe
      1 sein de l' équipe
      1 sein de l' administration
      1 secrétaire à l' éducation
      1 secours à des migrants
      1 sécheresse de leur histoire
      1 sciences de la vie
      1 scène dans des canulars
      1 samedi de la compétition
      1 samedi à 21 heures
      1 saison de son entraîneur
      1 saison de la série
      1 saison à l' Elysée
      1 rumeur sur un compte
      1 rumeur d' une taxe
      1 routes de la soie
      1 rond de la loi
      1 roi de la terre
      1 révolte contre les populismes
      1 révélations sur la pire
      1 révélations sur des soupçons
      1 révélations concernant le ministre
      1 réveil de l' opposition
      1 retransmission de la Formule
      1 retraite à l' automne
      1 retrait de la vie
      1 retrait de la présidence
      1 Retour sur une domination
      1 Retour sur ces moments
      1 retour d' une police
      1 retour à l' antenne
      1 retour à la compétition
      1 résultats de la collaboration
      1 ressources de l' antiterrorisme
      1 responsables de l' ONU
      1 responsable de l' Ademe
      1 responsabilités d' une cyberattaque
      1 résolution à l' ONU
      1 réserves pour l' élection
      1 réputation de l' armée
      1 République à l' Elysée
      1 reproche à son adversaire
      1 reprise de l' entreprise
      1 rempart contre les désordres
      1 relecture par les pairs
      1 relations avec le Parlement
      1 relation avec des professionnels
      1 règles sur les réseaux
      1 règles pour les investitures
      1 règles à l' entrée
      1 réfugiés dans le camp
      1 réélection à la tête
      1 rédaction à la fin
      1 recours contre le marché
      1 récit d' une passation
      1 recherche de sa mère
      1 réchauffement de la planète
      1 rat sur le corps
      1 rassemblement contre le président
      1 rassemblement contre le FN
      1 raisons d' une éviction
      1 raison de la guerre
      1 quiz en 10 questions
      1 quête d' un titre
      1 questions sur les élections
      1 questions sur les discussions
      1 questions sur la réforme
      1 question de l' absence
      1 quelque 400 000 euros
      1 quartier de la Chapelle
      1 quartier de la capitale
      1 publication de la revue
      1 psychothérapeute de 65 ans
      1 PS de l' Aisne
      1 proximité de la base
      1 proximité avec le chef
      1 provocations de la Corée
      1 protestations contre le président
      1 propositions d' un député
      1 propos de l' attitude
      1 propos de l' animateur
      1 propagation d' une rumeur
      1 prononcé par le candidat
      1 progressiste dans une tribune
      1 programme de l' épreuve
      1 programme de la candidate
      1 professionnels de leur région
      1 procès pour les laboratoires
      1 procès de l' attentat
      1 privé pour le ministère
      1 prison pour des publications
      1 priorité à l' embauche
      1 président pendant la campagne
      1 président de la République
      1 président de la Corée
      1 présidence de l' Iran
      1 présidence de la région
      1 préparatifs avant le débat
      1 précédent de ses équipes
      1 pouvoirs à l' Elysée
      1 pourvoi de l' homme
      1 pourfendeuse de l' exception
      1 poste de son mari
      1 porte sur un réseau
      1 Porté par un idéal
      1 portée par le président
      1 portée de l' action
      1 politique sur la lutte
      1 point sur la polémique
      1 poétique à l' univers
      1 plate-formes sur l' océan
      1 plainte contre un article
      1 plagiat d' un discours
      1 place de la République
      1 place dans la culture
      1 pirates à l' origine
      1 pied de la lettre
