----------------Nom Prp Nom-------------------
     22 code du travail
     14 candidat d' En
     12 réforme du code
      9 passation des pouvoirs
      7 conseil des ministres
      7 candidate du Front
      6 nomination d' Edouard
      6 gouvernement d' Edouard
      6 cohésion des territoires
      5 engagements de campagne
      5 droit du travail
      5 bilan des engagements
      4 secrétaire d' Etat
      4 mouvement d' Emmanuel
      4 mélange des genres
      4 bureaux de vote
      3 victoire d' Emmanuel
      3 réforme du droit
      3 quinquennat d' Emmanuel
      3 programme d' Emmanuel
      3 piratage d' En
      3 Philippe au poste
      3 dimanche 7 mai
      3 débat entre Marine
      3 clips de campagne
      3 chef du service
      3 chef du gouvernement
      3 chef de file
      3 cas de victoire
      3 bureau de vote
      2 vice-président du FN
      2 vendredi 5 mai
      2 usage de cannabis
      2 tête du ministère
      2 temps de parole
      2 soutien à Emmanuel
      2 soupçons d' emplois
      2 siège du Parti
      2 secrétariat d' Etat
      2 secrétaire du PS
      2 scrutin de juin
      2 rue de Solférino
      2 République en marche
      2 Question de droit
      2 procédure d' exclusion
      2 prison avec sursis
      2 porte-parole du gouvernement
      2 poignée de main
      2 plans de coupe
      2 place à Emmanuel
      2 Pen en tête
      2 passation de pouvoirs
      2 octobre en raison
      2 moteur de recherche
      2 Minute par minute
      2 ministres du quinquennat
      2 ministre du travail
      2 ministre du gouvernement
      2 milliers de documents
      2 mesures du programme
      2 matière de moralisation
      2 marge du sommet
      2 marge du défilé
      2 maire de Nice
      2 maire de Bordeaux
      2 Macron en matière
      2 lundi à Berlin
      2 lundi 8 mai
      2 jeudi à Bruxelles
      2 groupe de travail
      2 garde des sceaux
      2 fidèle d' Alain
      2 face au FN
      2 ensemble du territoire
      2 élection d' Emmanuel
      2 discussions en cours
      2 directeur de cabinet
      2 dimanche 14 mai
      2 départ de Marion
      2 débat d' entre-deux-tours
      2 Cour des comptes
      2 conférence de presse
      2 composition du gouvernement
      2 chefs d' Etat
      2 chef d' Etat
      2 changement de nom
      2 cérémonie d' investiture
      2 candidate du FN
      2 candidate d' extrême
      2 bilan du quinquennat
      1 votes des électeurs
      1 vote du conseil
      1 Voiture de police
      1 vœux par Marine
      1 visite du président
      1 vision du monde
      1 vingtaine d' années
      1 ville d' Aubervilliers
      1 villages du Bas-Rhin
      1 village de Haute-Marne
      1 vie sous tension
      1 vie du Conseil
      1 victoire aux élections
      1 victime des intox
      1 verbatim du face-à-face
      1 vent de fronde
      1 vendredi 26 mai
      1 véhicule des forces
      1 valeurs de liberté
      1 vainqueur de dimanche
      1 usine d' Amiens
      1 urnes dès samedi
      1 urgence au Parti
      1 université de Californie
      1 unité du Front
      1 UNEF au pouvoir
      1 troupes en cas
      1 trésorier du FN
      1 travers des batailles
      1 travail par ordonnances
      1 Travailleurs en ordre
      1 trajectoire des finances
      1 tour entre Macron
      1 tour du scrutin
      1 tour de rôle
      1 tour à tour
      1 totalité des quelque
      1 tombe du soldat
      1 titre de membre
      1 -t-il des liens
      1 tête du collège
      1 tête des suffrages
      1 terre de mission
      1 terrain du droit
      1 tenue du festival
      1 tentatives de courants
      1 tentation du retour
      1 temps de diffusion
      1 Temps d' antenne
      1 Témoignages d' électeurs
      1 taxe d' habitation
      1 Taxe aux frontières
      1 sûreté du cimentier
      1 stratégie en ligne
      1 stratégie d' Emmanuel
      1 stratégie au lendemain
      1 stature de chef
      1 star de fanfictions
      1 spécialiste d' histoire
      1 soutien aux grévistes
      1 soutien à Macron
      1 source de complexité
      1 soir des élections
      1 sociétés de journalistes
      1 société de confiance
      1 situation en Syrie
      1 sites d' extrême
      1 signe de ralliement
      1 session de formation
      1 service d' information
      1 série de dossiers
      1 série au sein
      1 sens au progrès
      1 semaines de campagne
      1 semaine du quinquennat
      1 semaine de président
      1 sélection d' articles
      1 séjour au Club
      1 sein d' En
      1 secrétaires d' Etat
      1 secrétaire d' En
      1 scrutin de dimanche
      1 sciences de gestion
      1 scène du président
      1 sceaux du gouvernement
      1 risque d' élection
      1 révision du texte
      1 retour aux partis
      1 résultats aux élections
      1 responsabilité des citoyens
      1 représentants des syndicats
      1 représentante du lobby
      1 reports de voix
      1 report de voix
      1 réponses de Bernard
      1 rencontre entre Emmanuel
      1 rencontre avec Emmanuel
      1 relations du prisme
      1 reine des paparazzis
      1 règles du débat
      1 règles d' application
      1 Règlements de comptes
      1 région des Pays
      1 régime d' exception
      1 regard des besoins
      1 regard de Fabrice
      1 regain de tensions
      1 réformes de Macron
      1 refonte du code
      1 référendum d' autodétermination
      1 réduction du déficit
      1 réduction d' effectifs
      1 rédacteur en chef
      1 recours au CSA
      1 record de prétendants
      1 recomposition du paysage
      1 recomposition des partis
      1 réalisateur du débat
      1 réactions de chefs
      1 réactions à droite
