----------------Nom Adj-------------------
     30 Front national
     20 élection présidentielle
     10 société civile
     10 partenaires sociaux
     10 élections législatives
      9 extrême droite
      8 secrétaire général
      7 vie politique
      6 vie publique
      5 transition écologique
      5 Parti socialiste
      5 majorité présidentielle
      5 campagne tenus
      4 président français
      4 Election présidentielle
      4 campagne présidentielle
      3 votes blancs
      3 personnalités politiques
      3 Parti communiste
      3 monnaie unique
      3 documents internes
      3 débat présidentiel
      3 chronique hebdomadaire
      3 campagne électorale
      2 territoires ultramarins
      2 semaine diplomatique
      2 revue «
      2 réformes prioritaires
      2 réactions politiques
      2 programme économique
      2 président Emmanuel
      2 président américain
      2 paysage politique
      2 Parlement européen
      2 organisations syndicales
      2 opposition frontale
      2 monde agricole
      2 Michel Noblecourt
      2 Jeux olympiques
      2 gouvernement précédent
      2 gendarmes supplémentaires
      2 équipe gouvernementale
      2 enseignement supérieur
      2 emplois fictifs
      2 Elections législatives
      2 éducation nationale
      2 droite américaine
      2 député européen
      2 Conseil constitutionnel
      2 Comité international
      2 collectivités territoriales
      2 candidats issus
      1 vote utile
      1 vote blanc
      1 voiture politique
      1 vitrine sociale
      1 visite express
      1 ville natale
      1 ville canadienne
      1 village iranien
      1 vies antérieures
      1 vie personnelle
      1 version drastique
      1 Union européenne
      1 transaction pénale
      1 tradition littéraire
      1 tradition française
      1 territoires palestiniens
      1 « terrible
      1 tensions outre-Atlantique
      1 tarif exorbitant
      1 tank libéral
      1 « talentueux
      1 tailleur parisien
      1 sujet essentiel
      1 soutien fidèle
      1 soldat inconnu
      1 soirée électorale
      1 société solidaire
      1 sociétés civiles
      1 société placée
      1 société française
      1 social manifeste
      1 signaux explicites
      1 sensibilités racistes
      1 ségrégation scolaire
      1 secrétaires départementaux
      1 secrétaire national
      1 sciences sociales
      1 sciences criminelles
      1 scène présidentielle
      1 scénario familier
      1 Sarah Soilihi
      1 santé environnementale
      1 roman national
      1 rôle déterminant
      1 rituel démocratique
      1 risque mortel
      1 richesse nationale
      1 révélations embarrassantes
      1 réunion publique
      1 réserve parlementaire
      1 réseaux sociaux
      1 réseau régional
      1 rentrée prochaine
      1 rénovation politique
      1 renouvellement politique
      1 rencontre «
      1 relations tribales
      1 relation orageuse
      1 région traditionnelle
      1 régime présidentiel
      1 réforme réelle
      1 réforme fiscale
      1 référence implicite
      1 redressement judiciaire
      1 redressement insuffisant
      1 rang desquels
      1 questions pratiques
      1 questions portant
      1 quartier populaire
      1 PS Jean-Christophe
      1 pronostic électoral
      1 promesses tenues
      1 promesses électorales
      1 promesse électorale
      1 projet gastronomique
      1 projet européen
      1 programme environnemental
      1 programme éducatif
      1 processus électoral
      1 probité publique
      1 prise illégale
      1 priorité nationale
      1 principes républicains
      1 pression fiscale
